BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.2,113.6,29,36,.446,41.8,90.8,46.0,12.6,33.8,37.3,17.4,21.7,80.0,10.0,35.5,45.5,20.3,12.9,6.0,6.3,21.3,-1.4
Home,32,48.3,116.7,18,14,.563,42.2,90.2,46.8,13.6,34.5,39.5,18.6,22.7,81.8,10.1,36.8,46.9,20.7,13.6,6.0,6.9,20.9,1.9
Road,33,48.0,110.6,11,22,.333,41.4,91.4,45.2,11.7,33.2,35.1,16.2,20.8,78.0,10.0,34.2,44.2,19.9,12.3,6.1,5.6,21.7,-4.7
Wins,29,48.3,119.9,29,0,1.000,43.6,89.5,48.7,13.7,33.8,40.6,19.1,23.1,82.4,9.6,38.9,48.5,21.6,13.4,6.2,7.3,21.8,10.7
Losses,36,48.0,108.5,0,36,.000,40.3,91.9,43.9,11.8,33.9,34.7,16.0,20.6,77.8,10.4,32.7,43.1,19.2,12.6,5.9,5.4,20.9,-11.3
October,5,48.0,111.0,3,2,.600,40.0,89.0,44.9,10.8,29.6,36.5,20.2,24.4,82.8,8.6,38.2,46.8,17.4,16.2,7.2,5.8,27.0,0.8
November,15,48.3,114.5,5,10,.333,42.1,93.3,45.2,12.9,35.1,36.8,17.3,21.3,80.9,10.8,35.9,46.7,20.8,13.1,5.5,6.1,22.4,-1.7
December,14,48.0,111.1,6,8,.429,40.9,89.9,45.5,12.1,33.2,36.3,17.4,20.9,83.2,10.1,35.5,45.6,19.6,13.1,6.0,7.3,21.6,-1.9
January,15,48.3,115.0,8,7,.533,42.1,91.3,46.2,12.8,35.1,36.4,17.9,22.9,78.4,10.0,35.1,45.1,20.6,11.8,5.7,6.4,19.7,-1.9
February,11,48.0,111.5,4,7,.364,41.7,90.8,45.9,13.0,33.0,39.4,15.0,20.1,74.7,10.5,33.8,44.3,19.8,12.5,6.1,5.1,19.8,-5.1
March,5,48.0,120.8,3,2,.600,44.2,86.8,50.9,13.8,34.0,40.6,18.6,23.0,80.9,8.2,36.2,44.4,23.8,13.2,7.4,6.6,20.0,7.6
Pre All-Star,56,48.2,113.4,25,31,.446,41.6,91.4,45.6,12.6,34.1,37.0,17.5,21.7,80.5,10.2,35.6,45.8,20.0,12.9,5.9,6.3,21.6,-1.9
Post All-Star,9,48.0,114.7,4,5,.444,42.7,87.3,48.9,12.7,32.0,39.6,16.7,21.8,76.5,9.0,34.9,43.9,21.9,13.4,7.0,6.2,19.6,1.1
0 Days Rest,11,48.0,112.2,3,8,.273,41.1,93.5,43.9,13.6,34.9,39.1,16.4,20.9,78.3,11.3,34.4,45.6,19.0,12.0,6.0,6.6,20.5,-2.4
1 Days Rest,41,48.2,113.5,21,20,.512,41.8,90.4,46.3,12.1,33.6,35.9,17.7,22.1,80.1,9.5,36.3,45.8,20.9,12.6,6.1,6.3,21.3,-0.6
2 Days Rest,9,48.0,119.3,4,5,.444,43.4,90.4,48.0,15.3,35.8,42.9,17.1,21.3,80.2,10.2,33.8,44.0,20.1,14.1,5.2,5.2,21.0,-0.6
3 Days Rest,2,48.0,104.0,1,1,.500,39.5,87.5,45.1,10.5,30.5,34.4,14.5,17.5,82.9,10.5,34.5,45.0,20.5,16.5,7.0,7.5,25.0,-9.5
5 Days Rest,1,48.0,100.0,0,1,.000,36.0,87.0,41.4,7.0,28.0,25.0,21.0,23.0,91.3,13.0,35.0,48.0,13.0,20.0,9.0,4.0,25.0,-8.0
6+ Days Rest,1,48.0,115.0,0,1,.000,43.0,94.0,45.7,10.0,27.0,37.0,19.0,25.0,76.0,13.0,33.0,46.0,20.0,14.0,7.0,9.0,22.0,-13.0
