MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 11, 2020 - NYK @ ATL",W,53,136,50,94,53.2,11,28,39.3,25,34,73.5,6,41,47,32,12,14,9,23
"Mar 10, 2020 - NYK @ WAS",L,48,115,42,81,51.9,8,21,38.1,23,31,74.2,8,28,36,30,19,10,3,29
"Mar 08, 2020 - NYK vs. DET",W,48,96,36,82,43.9,6,19,31.6,18,25,72.0,13,38,51,15,12,10,5,16
"Mar 06, 2020 - NYK vs. OKC",L,48,103,41,91,45.1,4,24,16.7,17,22,77.3,13,35,48,19,12,4,8,20
"Mar 04, 2020 - NYK vs. UTA",L,48,104,41,85,48.2,7,20,35.0,15,18,83.3,11,31,42,23,13,3,1,18
"Mar 02, 2020 - NYK vs. HOU",W,48,125,47,97,48.5,12,30,40.0,19,30,63.3,20,45,65,26,19,6,7,19
"Feb 29, 2020 - NYK vs. CHI",W,48,125,47,85,55.3,8,20,40.0,23,33,69.7,17,33,50,29,17,6,4,19
"Feb 27, 2020 - NYK @ PHI",L,48,106,42,83,50.6,8,23,34.8,14,24,58.3,9,30,39,28,8,2,3,11
"Feb 26, 2020 - NYK @ CHA",L,48,101,43,85,50.6,4,15,26.7,11,17,64.7,13,29,42,22,15,5,6,24
"Feb 24, 2020 - NYK @ HOU",L,48,112,40,91,44.0,11,29,37.9,21,30,70.0,16,38,54,20,17,12,8,21
"Feb 21, 2020 - NYK vs. IND",L,48,98,35,81,43.2,11,25,44.0,17,25,68.0,5,35,40,21,15,7,7,26
"Feb 12, 2020 - NYK vs. WAS",L,48,96,36,88,40.9,3,23,13.0,21,29,72.4,14,38,52,19,22,10,3,27
"Feb 09, 2020 - NYK @ ATL",L,58,135,52,110,47.3,13,34,38.2,18,25,72.0,15,41,56,30,18,12,6,29
"Feb 08, 2020 - NYK @ DET",W,48,95,38,85,44.7,8,22,36.4,11,17,64.7,16,31,47,24,15,5,6,21
"Feb 06, 2020 - NYK vs. ORL",W,48,105,43,92,46.7,6,20,30.0,13,19,68.4,10,29,39,27,14,12,5,23
"Feb 03, 2020 - NYK @ CLE",W,53,139,57,102,55.9,10,26,38.5,15,21,71.4,12,34,46,33,12,11,1,18
"Feb 01, 2020 - NYK @ IND",W,48,92,34,82,41.5,7,26,26.9,17,23,73.9,14,43,57,19,13,5,1,20
"Jan 29, 2020 - NYK vs. MEM",L,48,106,39,91,42.9,9,28,32.1,19,29,65.5,11,35,46,26,18,9,6,22
"Jan 28, 2020 - NYK @ CHA",L,48,92,38,86,44.2,9,32,28.1,7,11,63.6,8,34,42,17,14,5,7,26
"Jan 26, 2020 - NYK vs. BKN",W,48,110,49,92,53.3,6,19,31.6,6,13,46.2,14,34,48,19,15,7,8,23
"Jan 24, 2020 - NYK vs. TOR",L,48,112,42,85,49.4,13,36,36.1,15,21,71.4,14,32,46,26,16,5,4,21
"Jan 22, 2020 - NYK vs. LAL",L,48,92,36,88,40.9,11,34,32.4,9,13,69.2,13,34,47,24,17,4,4,23
"Jan 20, 2020 - NYK @ CLE",W,48,106,41,85,48.2,9,23,39.1,15,17,88.2,7,42,49,17,10,6,9,17
"Jan 18, 2020 - NYK vs. PHI",L,48,87,35,88,39.8,6,25,24.0,11,18,61.1,12,36,48,20,14,4,5,18
"Jan 16, 2020 - NYK vs. PHX",L,48,98,37,90,41.1,8,26,30.8,16,24,66.7,10,30,40,21,18,12,3,21
"Jan 14, 2020 - NYK @ MIL",L,48,102,36,102,35.3,11,37,29.7,19,26,73.1,12,37,49,26,11,7,3,21
"Jan 12, 2020 - NYK vs. MIA",W,48,124,46,90,51.1,9,31,29.0,23,28,82.1,10,29,39,24,6,11,3,23
"Jan 10, 2020 - NYK vs. NOP",L,48,111,46,100,46.0,5,27,18.5,14,20,70.0,14,32,46,26,13,13,1,16
"Jan 08, 2020 - NYK @ UTA",L,48,104,42,97,43.3,9,25,36.0,11,11,100,14,27,41,18,9,3,1,17
"Jan 07, 2020 - NYK @ LAL",L,48,87,37,95,38.9,4,20,20.0,9,16,56.3,15,32,47,15,16,10,3,20
"Jan 05, 2020 - NYK @ LAC",L,48,132,48,84,57.1,12,23,52.2,24,37,64.9,8,29,37,22,16,11,4,26
"Jan 03, 2020 - NYK @ PHX",L,48,112,41,92,44.6,10,37,27.0,20,30,66.7,13,39,52,19,15,7,7,26
"Jan 01, 2020 - NYK vs. POR",W,48,117,47,98,48.0,14,36,38.9,9,14,64.3,9,46,55,29,7,3,6,14
"Dec 28, 2019 - NYK @ WAS",W,48,107,38,85,44.7,11,31,35.5,20,26,76.9,11,45,56,25,22,5,5,25
"Dec 26, 2019 - NYK @ BKN",W,48,94,37,92,40.2,9,29,31.0,11,15,73.3,13,47,60,16,14,6,2,27
"Dec 23, 2019 - NYK vs. WAS",L,48,115,44,93,47.3,15,36,41.7,12,15,80.0,11,33,44,29,14,4,10,25
"Dec 21, 2019 - NYK vs. MIL",L,48,102,39,97,40.2,9,30,30.0,15,21,71.4,9,38,47,23,15,10,6,27
"Dec 20, 2019 - NYK @ MIA",L,48,114,41,94,43.6,10,34,29.4,22,33,66.7,13,28,41,23,8,11,2,25
"Dec 17, 2019 - NYK vs. ATL",W,48,143,53,95,55.8,13,28,46.4,24,31,77.4,13,42,55,30,12,7,6,21
"Dec 15, 2019 - NYK @ DEN",L,48,105,44,94,46.8,8,32,25.0,9,10,90.0,14,33,47,20,11,9,2,19
"Dec 13, 2019 - NYK @ SAC",W,48,103,44,95,46.3,9,30,30.0,6,10,60.0,14,34,48,24,9,7,3,18
"Dec 11, 2019 - NYK @ GSW",W,53,124,43,90,47.8,12,29,41.4,26,34,76.5,12,46,58,25,19,5,7,24
"Dec 10, 2019 - NYK @ POR",L,48,87,32,91,35.2,7,38,18.4,16,26,61.5,11,36,47,16,11,5,3,18
"Dec 07, 2019 - NYK vs. IND",L,48,103,39,96,40.6,10,31,32.3,15,21,71.4,15,37,52,24,11,11,6,14
"Dec 05, 2019 - NYK vs. DEN",L,48,92,34,83,41.0,9,34,26.5,15,23,65.2,5,28,33,23,14,9,7,16
"Dec 02, 2019 - NYK @ MIL",L,48,88,28,91,30.8,10,39,25.6,22,33,66.7,14,28,42,13,10,4,7,21
"Dec 01, 2019 - NYK vs. BOS",L,48,104,35,76,46.1,8,26,30.8,26,37,70.3,8,31,39,15,16,7,6,25
"Nov 29, 2019 - NYK vs. PHI",L,48,95,34,78,43.6,8,20,40.0,19,33,57.6,9,28,37,14,14,5,4,33
"Nov 27, 2019 - NYK @ TOR",L,48,98,33,88,37.5,12,41,29.3,20,24,83.3,15,30,45,19,18,6,4,17
"Nov 24, 2019 - NYK vs. BKN",L,48,101,37,80,46.3,18,35,51.4,9,16,56.3,9,34,43,22,19,6,4,29
